Rhynchocyon_petersi, {{86, {{33, 4, 11, 43}, 0.04}}, {14, {{32, 4, 12, 43}, 0.04}}}
Felis_felis, {{86, {{33, 4, 11, 43}, 0.12}}, {14, {{32, 4, 12, 43}, 0.12}}}
Uncia_uncia, {{14, {{32, 4, 12, 43}, 0.47}}, {37, {{33, 4, 11, 43}, 0.47}}, {49, {{33, 4, 11, 43}, 0.46}}}
Tapirus_terrestris, {{30, {{33, 4, 11, 43}, 0.67}}, {56, {{33, 4, 11, 43}, 0.66}}, {14, {{32, 4, 12, 43}, 0.67}}}
Lama_guanicoe, {{81, {{33, 4, 11, 43}, 0.07}}, {14, {{32, 4, 12, 43}, 0.07}}, {5, {{33, 4, 11, 43}, 0.06}}}
Syncerus_caffer, {{86, {{33, 4, 11, 43}, 0.83}}, {14, {{32, 4, 12, 43}, 0.83}}}
Capreolus_capreolus, {{13, {{32, 4, 12, 43}, 0.06}}, {1, {{32, 4, 12, 43}, 0.07}}, {86, {{33, 4, 11, 43}, 0.06}}}
Anarosaurus, {{86, {{33, 4, 11, 43}, 0.99}}, {14, {{32, 4, 12, 43}, 0.99}}}
Simosaurus, {{86, {{33, 4, 11, 43}, 0.99}}, {14, {{32, 4, 12, 43}, 0.99}}}
Spinosaurus_.11, {{5, {{33, 4, 11, 43}, 0.5}}, {3, {{32, 4, 12, 43}, 0.47}}, {3, {{32, 4, 12, 43}, 0.48}}, {7, {{33, 4, 11, 43}, 0.45}}, {5, {{32, 4, 12, 43}, 0.49}}, {1, {{33, 4, 11, 43}, 0.51}}, {1, {{32, 4, 12, 43}, 0.46}}, {2, {{32, 4, 12, 43}, 0.5}}, {12, {{33, 4, 11, 43}, 0.47}}, {19, {{33, 4, 11, 43}, 0.49}}, {24, {{33, 4, 11, 43}, 0.48}}, {18, {{33, 4, 11, 43}, 0.46}}}
Spinosaurus_.10, {{17, {{33, 4, 11, 43}, 0.5}}, {1, {{32, 4, 12, 43}, 0.55}}, {23, {{33, 4, 11, 43}, 0.53}}, {4, {{32, 4, 12, 43}, 0.52}}, {12, {{33, 4, 11, 43}, 0.51}}, {1, {{32, 4, 12, 43}, 0.5}}, {3, {{32, 4, 12, 43}, 0.53}}, {18, {{33, 4, 11, 43}, 0.54}}, {3, {{32, 4, 12, 43}, 0.51}}, {1, {{33, 4, 11, 43}, 0.49}}, {15, {{33, 4, 11, 43}, 0.52}}, {2, {{32, 4, 12, 43}, 0.54}}}
