"","actual class","predicted class","N","median P(diving)"
"Monodelphis_domestica","0","2","100","0.71"
"Myrmecophaga_tridactyla","0","2","100","0.76"
"Mus_musculus","0","0","0","0.08"
"Castor_fiber","2","2","100","0.74"
"Tapirus_terrestris","2","2","100","0.58"
"Rodhocetus","2","2","100","0.95"
"Bos_taurus","0","2","100","0.62"
"Simosaurus","2","2","100","0.97"
"Cryptoclidus","2","2","100","0.99"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"2","70","0.51"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.95"
"Spinosaurus_.7",NA,"2","100","0.91"
"Spinosaurus_.6",NA,"2","100","0.84"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.96"
"Spinosaurus_.3",NA,"2","100","0.94"
"Spinosaurus_.2",NA,"2","100","0.9"
"Spinosaurus_.1",NA,"2","100","0.83"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.78"
"Baryonyx.2",NA,"2","100","0.9"
"Baryonyx.1",NA,"2","100","0.96"
"Suchomimus.3",NA,"0","0","0.32"
"Suchomimus.2",NA,"2","98","0.51"
"Suchomimus.1",NA,"0","0","0.31"
"Suchomimus",NA,"0","7","0.5"
"Baryonyx",NA,"2","100","0.95"
"Porphyrio_hochstetteri","0","0","0","0.11"
"large_eocene_stem_penguin","2","2","100","0.98"
"Spheniscus","2","2","100","0.9"
