"","actual class","predicted class","N","median P(diving)"
"Procavia_capensis","0","2","100","0.53"
"Noemys_fodies","2","0","46","0.5"
"Brachyodus_onoideum","0","2","100","0.81"
"Paraplacodus","2","2","100","1"
"Placondontia_indet","2","2","100","1"
"Placodontia_indet_1","2","2","100","0.98"
"Neusticosaurus","2","2","100","1"
"Simosaurus_1","2","2","100","0.8"
"Nothosaurus_mirabilis_1","2","2","100","0.83"
"Dyrosaurid","2","0","0","0.26"
"Spinosaurus_.11",NA,"0","0","0.47"
"Spinosaurus_.10",NA,"2","68","0.51"
"Spinosaurus_.9",NA,"2","100","0.98"
"Spinosaurus_.8",NA,"2","100","0.96"
"Spinosaurus_.7",NA,"2","100","0.94"
"Spinosaurus_.6",NA,"2","100","0.87"
"Spinosaurus_.5",NA,"2","100","0.99"
"Spinosaurus_.4",NA,"2","100","0.97"
"Spinosaurus_.3",NA,"2","100","0.96"
"Spinosaurus_.2",NA,"2","100","0.92"
"Spinosaurus_.1",NA,"2","100","0.86"
"Spinosaurus_",NA,"2","100","0.99"
"Baryonyx.3",NA,"2","100","0.82"
"Baryonyx.2",NA,"2","100","0.93"
"Baryonyx.1",NA,"2","100","0.97"
"Suchomimus.3",NA,"0","0","0.32"
"Suchomimus.2",NA,"2","100","0.53"
"Suchomimus.1",NA,"0","0","0.31"
"Suchomimus",NA,"2","100","0.51"
"Baryonyx",NA,"2","100","0.97"
"Apteryx_australis","0","0","0","0.15"
"large_eocene_stem_penguin","2","2","100","0.99"
