Perameles_nasuta, {{96, {{80, 5, 9, 28}, 0.09}}, {4, {{80, 5, 9, 28}, 0.08}}}
Trichechus_manatus, {{100, {{80, 5, 9, 28}, 1.0}}}
Cercopithecus_mona, {{100, {{80, 5, 9, 28}, 0.0}}}
Gorilla_gorilla, {{33, {{80, 5, 9, 28}, 0.0}}, {67, {{80, 5, 9, 28}, 0.01}}}
Myoprocta_pratti, {{100, {{80, 5, 9, 28}, 0.0}}}
Pteropus_giganteus, {{100, {{80, 5, 9, 28}, 0.0}}}
Rangifer_tarandus, {{100, {{80, 5, 9, 28}, 0.5}}}
Crocodylus_sp., {{100, {{82, 5, 8, 27}, 0.99}}}
Crocodylus_niloticus, {{100, {{82, 5, 8, 27}, 1.0}}}
Plateosaurus, {{100, {{82, 5, 8, 27}, 0.0}}}
Baryonyx.1, {{100, {{82, 5, 8, 27}, 0.99}}}
Spinosaurus.3, {{100, {{82, 5, 8, 27}, 0.99}}}
Spinosaurus.2, {{100, {{82, 5, 8, 27}, 1.0}}}
Spinosaurus.1, {{58, {{82, 5, 8, 27}, 0.98}}, {42, {{82, 5, 8, 27}, 0.99}}}
Baryonyx, {{100, {{82, 5, 8, 27}, 1.0}}}
Spinosaurus, {{100, {{82, 5, 8, 27}, 1.0}}}
Crypturellus_tataupa, {{74, {{82, 5, 8, 27}, 0.1}}, {26, {{82, 5, 8, 27}, 0.09}}}
Atlantisia_rogersi, {{75, {{82, 5, 8, 27}, 0.27}}, {25, {{82, 5, 8, 27}, 0.26}}}
Porzana_carolina, {{84, {{82, 5, 8, 27}, 0.01}}, {16, {{82, 5, 8, 27}, 0.02}}}
Tribonyx_ventralis, {{46, {{82, 5, 8, 27}, 0.7}}, {54, {{82, 5, 8, 27}, 0.71}}}
Monodelphis_domestica, {{100, {{82, 5, 8, 27}, 0.06}}}
Orycteropus_afer, {{100, {{82, 5, 8, 27}, 0.01}}}
Procavia_capensis, {{100, {{82, 5, 8, 27}, 0.03}}}
Eidolon_helvum, {{100, {{82, 5, 8, 27}, 0.0}}}
Ursus_spelaeus, {{100, {{82, 5, 8, 27}, 0.94}}}
Taxidea_taxus, {{46, {{82, 5, 8, 27}, 0.19}}, {54, {{82, 5, 8, 27}, 0.18}}}
Equus_caballus, {{50, {{82, 5, 8, 27}, 0.25}}, {50, {{82, 5, 8, 27}, 0.26}}}
Neusticosaurus, {{100, {{86, 4, 8, 24}, 1.0}}}
Baryonyx.1, {{100, {{86, 4, 8, 24}, 1.0}}}
Spinosaurus.3, {{100, {{86, 4, 8, 24}, 1.0}}}
Spinosaurus.2, {{100, {{86, 4, 8, 24}, 1.0}}}
Spinosaurus.1, {{100, {{86, 4, 8, 24}, 0.99}}}
Baryonyx, {{100, {{86, 4, 8, 24}, 1.0}}}
Spinosaurus, {{100, {{86, 4, 8, 24}, 1.0}}}
Charcarodontosaurid, {{100, {{86, 4, 8, 24}, 0.97}}}
Strigiops_habroptilus, {{73, {{86, 4, 8, 24}, 0.01}}, {27, {{86, 4, 8, 24}, 0.02}}}
Macropus_rufus, {{89, {{86, 4, 8, 24}, 0.34}}, {9, {{86, 4, 8, 24}, 0.33}}, {2, {{86, 4, 8, 24}, 0.35}}}
Myocastor_coypus, {{93, {{86, 4, 8, 24}, 0.03}}, {7, {{86, 4, 8, 24}, 0.02}}}
Castor_fiber, {{100, {{86, 4, 8, 24}, 0.96}}}
Apodemus_sp., {{73, {{86, 4, 8, 24}, 0.01}}, {27, {{86, 4, 8, 24}, 0.0}}}
Galemys_pyrenaicus, {{100, {{86, 4, 8, 24}, 0.0}}}
Hemiechinus_azurites, {{100, {{86, 4, 8, 24}, 0.01}}}
Martes_foina, {{100, {{86, 4, 8, 24}, 0.02}}}
Tapirus_indicus, {{100, {{86, 4, 8, 24}, 0.02}}}
Dorudon, {{100, {{86, 4, 8, 24}, 1.0}}}
Cervus_elaphus_canadensis, {{100, {{86, 4, 8, 24}, 0.0}}}
Bison_bison, {{10, {{86, 4, 8, 24}, 0.1}}, {90, {{86, 4, 8, 24}, 0.11}}}
Ceresiosaurus, {{100, {{80, 5, 12, 25}, 1.0}}}
Baryonyx.1, {{66, {{80, 5, 12, 25}, 0.97}}, {34, {{80, 5, 12, 25}, 0.98}}}
Spinosaurus.3, {{33, {{80, 5, 12, 25}, 0.97}}, {67, {{80, 5, 12, 25}, 0.98}}}
Spinosaurus.2, {{100, {{80, 5, 12, 25}, 1.0}}}
Spinosaurus.1, {{2, {{80, 5, 12, 25}, 0.96}}, {98, {{80, 5, 12, 25}, 0.97}}}
Baryonyx, {{100, {{80, 5, 12, 25}, 1.0}}}
Spinosaurus, {{100, {{80, 5, 12, 25}, 1.0}}}
Chaunia_chavaria, {{13, {{80, 5, 12, 25}, 0.09}}, {87, {{80, 5, 12, 25}, 0.1}}}
Anseranas_semipalmata, {{96, {{80, 5, 12, 25}, 0.5}}, {4, {{80, 5, 12, 25}, 0.49}}}
Buteo_buteo, {{100, {{80, 5, 12, 25}, 0.0}}}
Aptenodytes_patagonicus, {{1, {{80, 5, 12, 25}, 0.67}}, {99, {{80, 5, 12, 25}, 0.68}}}
Eudyptes_chrysocome, {{24, {{80, 5, 12, 25}, 0.95}}, {76, {{80, 5, 12, 25}, 0.94}}}
Tachyglossus_aculeatus_setosus, {{97, {{80, 5, 12, 25}, 0.07}}, {3, {{80, 5, 12, 25}, 0.06}}}
Rhynchocyon_petersi, {{15, {{80, 5, 12, 25}, 0.17}}, {85, {{80, 5, 12, 25}, 0.18}}}
Dugong_dugon, {{100, {{80, 5, 12, 25}, 1.0}}}
Lepus_europaeus, {{3, {{80, 5, 12, 25}, 0.23}}, {97, {{80, 5, 12, 25}, 0.24}}}
Euroscaptor_micrura, {{63, {{80, 5, 12, 25}, 0.16}}, {37, {{80, 5, 12, 25}, 0.17}}}
Crocidura_russula, {{100, {{80, 5, 12, 25}, 0.07}}}
Canis_lupus, {{100, {{80, 5, 12, 25}, 0.05}}}
Martes_martes, {{100, {{80, 5, 12, 25}, 0.06}}}
Nothosaurus_sp., {{100, {{85, 6, 9, 23}, 1.0}}}
Carentonosaurus_mineaui, {{100, {{85, 6, 9, 23}, 1.0}}}
Baryonyx.1, {{100, {{85, 6, 9, 23}, 0.98}}}
Spinosaurus.3, {{100, {{85, 6, 9, 23}, 0.98}}}
Spinosaurus.2, {{100, {{85, 6, 9, 23}, 1.0}}}
Spinosaurus.1, {{42, {{85, 6, 9, 23}, 0.98}}, {58, {{85, 6, 9, 23}, 0.97}}}
Baryonyx, {{100, {{85, 6, 9, 23}, 1.0}}}
Spinosaurus, {{100, {{85, 6, 9, 23}, 1.0}}}
Tachyeres_ciconia, {{1, {{85, 6, 9, 23}, 0.92}}, {99, {{85, 6, 9, 23}, 0.93}}}
Anas_platyrhynchos, {{100, {{85, 6, 9, 23}, 0.0}}}
Spheniscus_humboldti, {{100, {{85, 6, 9, 23}, 0.97}}}
Pelecanus_sp., {{100, {{85, 6, 9, 23}, 0.0}}}
Paleoparadoxia_sp, {{100, {{85, 6, 9, 23}, 1.0}}}
Dasyprocta__punctata, {{100, {{85, 6, 9, 23}, 0.01}}}
Rousettus_aegyptiacus, {{100, {{85, 6, 9, 23}, 0.0}}}
Tapirus_terrestris, {{74, {{85, 6, 9, 23}, 0.68}}, {26, {{85, 6, 9, 23}, 0.67}}}
Bison_bonasus, {{100, {{85, 6, 9, 23}, 0.0}}}
Aepyceros_melampus, {{40, {{85, 6, 9, 23}, 0.17}}, {60, {{85, 6, 9, 23}, 0.16}}}
Hemitragus_jayakari, {{100, {{85, 6, 9, 23}, 0.04}}}
Serpianosaurus, {{8, {{85, 5, 10, 23}, 1.0}}, {92, {{86, 5, 9, 23}, 1.0}}}
Baryonyx.1, {{92, {{86, 5, 9, 23}, 0.99}}, {8, {{85, 5, 10, 23}, 0.99}}}
Spinosaurus.3, {{92, {{86, 5, 9, 23}, 0.99}}, {8, {{85, 5, 10, 23}, 0.99}}}
Spinosaurus.2, {{8, {{85, 5, 10, 23}, 1.0}}, {92, {{86, 5, 9, 23}, 1.0}}}
Spinosaurus.1, {{92, {{86, 5, 9, 23}, 0.98}}, {8, {{85, 5, 10, 23}, 0.98}}}
Baryonyx, {{8, {{85, 5, 10, 23}, 1.0}}, {92, {{86, 5, 9, 23}, 1.0}}}
Spinosaurus, {{8, {{85, 5, 10, 23}, 1.0}}, {92, {{86, 5, 9, 23}, 1.0}}}
Anser_fabalis, {{1, {{86, 5, 9, 23}, 0.11}}, {1, {{86, 5, 9, 23}, 0.13}}, {90, {{86, 5, 9, 23}, 0.12}}, {8, {{85, 5, 10, 23}, 0.12}}}
Caloenas_nicobarica, {{8, {{85, 5, 10, 23}, 0.21}}, {3, {{86, 5, 9, 23}, 0.2}}, {89, {{86, 5, 9, 23}, 0.21}}}
Otis_tarda, {{92, {{86, 5, 9, 23}, 0.0}}, {8, {{85, 5, 10, 23}, 0.0}}}
Galagoides_demidovii, {{92, {{86, 5, 9, 23}, 0.0}}, {8, {{85, 5, 10, 23}, 0.0}}}
Hydromys_chrysogaster, {{92, {{86, 5, 9, 23}, 0.81}}, {8, {{85, 5, 10, 23}, 0.81}}}
Erinaceus_europaeus, {{8, {{85, 5, 10, 23}, 0.03}}, {92, {{86, 5, 9, 23}, 0.03}}}
Noemys_fodies, {{89, {{86, 5, 9, 23}, 0.59}}, {8, {{85, 5, 10, 23}, 0.59}}, {3, {{86, 5, 9, 23}, 0.58}}}
Panthera_leo_persica, {{8, {{85, 5, 10, 23}, 0.01}}, {92, {{86, 5, 9, 23}, 0.01}}}
Tremarctos_ornatus, {{92, {{86, 5, 9, 23}, 0.63}}, {8, {{85, 5, 10, 23}, 0.63}}}
Nanophoca_vitulinoides, {{8, {{85, 5, 10, 23}, 1.0}}, {92, {{86, 5, 9, 23}, 1.0}}}
Enhydra_lutris, {{92, {{86, 5, 9, 23}, 0.97}}, {8, {{85, 5, 10, 23}, 0.97}}}
Hippopotamus_amphibius, {{6, {{85, 5, 10, 23}, 0.9}}, {2, {{85, 5, 10, 23}, 0.91}}, {49, {{86, 5, 9, 23}, 0.9}}, {43, {{86, 5, 9, 23}, 0.91}}}
Baryonyx.1, {{100, {{83, 5, 8, 27}, 0.99}}}
Spinosaurus.3, {{100, {{83, 5, 8, 27}, 0.99}}}
Spinosaurus.2, {{100, {{83, 5, 8, 27}, 1.0}}}
Spinosaurus.1, {{100, {{83, 5, 8, 27}, 0.99}}}
Baryonyx, {{100, {{83, 5, 8, 27}, 1.0}}}
Spinosaurus, {{100, {{83, 5, 8, 27}, 1.0}}}
Apteryx_owenii, {{85, {{83, 5, 8, 27}, 0.44}}, {15, {{83, 5, 8, 27}, 0.45}}}
