Canis_lupus, {{86, 0.03}, {14, 0.04}}
Camelus_bactrianus, {{100, 0.12}}
Sus_scrofa, {{100, 0.01}}
Capreolus_capreolus, {{100, 0.0}}
Hemitragus_jayakari, {{100, 0.04}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Struthio_camelus, {{100, 0.07}}
Chaunia_chavaria, {{100, 0.08}}
Anser_fabalis, {{100, 0.12}}
Dendrocopos_major, {{74, 0.13}, {26, 0.14}}
Corvus_corone, {{100, 0.0}}
Pelagodroma_marina, {{20, 0.2}, {80, 0.21}}
Didelphis_sp., {{50, 0.0}, {50, 0.01}}
Tenrec_ecaudatus, {{19, 0.22}, {81, 0.23}}
Paleoparadoxia_sp, {{100, 1.0}}
Rattus_rattus, {{81, 0.28}, {19, 0.29}}
Euroscaptor_micrura, {{94, 0.17}, {6, 0.16}}
Diplomesodon_pulchellum, {{30, 0.32}, {70, 0.31}}
Bison_bonasus, {{100, 0.0}}
Serpianosaurus, {{100, 1.0}}
Baryonyx.1, {{24, 0.98}, {76, 0.97}}
Spinosaurus.3, {{81, 0.98}, {19, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{1, 0.96}, {99, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Goura_cristata, {{100, 0.01}}
Aramus_guarana, {{99, 0.26}, {1, 0.27}}
Podica_senegalensis, {{11, 0.61}, {89, 0.62}}
Rhynchocyon_petersi, {{80, 0.18}, {20, 0.19}}
Microgale_thomasi, {{3, 0.12}, {97, 0.11}}
Galagoides_demidovii, {{100, 0.01}}
Gorilla_gorilla, {{100, 0.01}}
Dasyprocta__punctata, {{33, 0.01}, {67, 0.02}}
Hemiechinus_azurites, {{4, 0.04}, {96, 0.05}}
Ursus_spelaeus, {{100, 0.91}}
Cervus_elaphus_canadensis, {{100, 0.01}}
Aepyceros_melampus, {{90, 0.2}, {10, 0.19}}
Nothosaurus_sp., {{100, 1.0}}
Ceresiosaurus, {{100, 1.0}}
Baryonyx.1, {{100, 0.98}}
Spinosaurus.3, {{100, 0.98}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Lourinhanosaurus, {{100, 0.08}}
Caloenas_nicobarica, {{2, 0.22}, {98, 0.23}}
Porphyrio_poliocephalus, {{2, 0.1}, {98, 0.09}}
Eudyptes_chrysocome, {{93, 0.92}, {7, 0.93}}
Ornithorhynchus_anatinus, {{46, 0.94}, {54, 0.93}}
Monodelphis_domestica, {{99, 0.09}, {1, 0.08}}
Desmana_moschata, {{52, 0.9}, {48, 0.89}}
Crocidura_russula, {{96, 0.06}, {4, 0.05}}
Pipistrellus_pipistrellus, {{100, 0.0}}
Enhydra_lutris, {{100, 0.96}}
Tapirus_indicus, {{98, 0.07}, {2, 0.08}}
