Pelecanus_sp., {{100, 0.0}}
Ornithorhynchus_anatinus, {{100, 0.97}}
Dasyurus_maculatus, {{18, 0.28}, {82, 0.27}}
Dasyprocta__punctata, {{100, 0.0}}
Myocastor_coypus, {{100, 0.04}}
Noemys_fodies, {{93, 0.56}, {7, 0.57}}
Felis_silvestris, {{21, 0.03}, {79, 0.02}}
Martes_foina, {{100, 0.03}}
Sus_scrofa, {{100, 0.0}}
Bison_bonasus, {{100, 0.0}}
Serpianosaurus, {{100, 1.0}}
Plateosaurus, {{100, 0.0}}
Baryonyx.1, {{41, 0.98}, {59, 0.97}}
Spinosaurus.3, {{90, 0.98}, {10, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Crypturellus_tataupa, {{89, 0.15}, {11, 0.14}}
Anseranas_semipalmata, {{99, 0.49}, {1, 0.48}}
Otis_tarda, {{100, 0.0}}
Psophia_crepitans, {{100, 0.07}}
Phaenicopterus_roseus, {{96, 0.37}, {4, 0.38}}
Phaeton_aethereus, {{96, 0.22}, {4, 0.23}}
Phalacrocorax_harris, {{100, 0.87}}
Perameles_nasuta, {{100, 0.16}}
Procavia_capensis, {{44, 0.06}, {56, 0.05}}
Cercopithecus_mona, {{100, 0.01}}
Bison_bison, {{59, 0.2}, {41, 0.19}}
Ceresiosaurus, {{100, 1.0}}
Neusticosaurus, {{100, 1.0}}
Baryonyx.1, {{37, 0.98}, {63, 0.97}}
Spinosaurus.3, {{95, 0.98}, {5, 0.97}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{4, 0.96}, {96, 0.97}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Melanitta_nigra, {{46, 0.18}, {54, 0.17}}
Anas_platyrhynchos, {{100, 0.0}}
Aramus_guarana, {{1, 0.26}, {99, 0.25}}
Desmana_moschata, {{100, 0.89}}
Crocidura_russula, {{27, 0.07}, {73, 0.06}}
Rousettus_aegyptiacus, {{100, 0.01}}
Canis_lupus, {{63, 0.07}, {37, 0.08}}
Ursus_spelaeus, {{12, 0.91}, {88, 0.9}}
Martes_martes, {{49, 0.07}, {51, 0.08}}
Enhydra_lutris, {{80, 0.95}, {20, 0.96}}
Mustela_nivalis, {{100, 0.21}}
Crocodylus_niloticus, {{100, 1.0}}
Baryonyx.1, {{100, 0.99}}
Spinosaurus.3, {{100, 0.99}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{100, 0.99}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Charcarodontosaurid, {{57, 0.95}, {43, 0.96}}
Anser_fabalis, {{83, 0.1}, {17, 0.09}}
Porphyrio_poliocephalus, {{4, 0.06}, {96, 0.05}}
Tribonyx_ventralis, {{100, 0.68}}
Larus_argentatus, {{100, 0.0}}
Ardea_cinerea, {{100, 0.0}}
Hemiechinus_azurites, {{100, 0.02}}
Vulpes_vulpes, {{1, 0.0}, {99, 0.01}}
Giraffa_camelopardalis, {{11, 0.01}, {89, 0.02}}
Capreolus_capreolus, {{100, 0.0}}
Aepyceros_melampus, {{14, 0.15}, {86, 0.16}}
Hemitragus_jayakari, {{79, 0.03}, {21, 0.04}}
